Time,Symbol,Funding Rate,Funding Rate Daily
"Oct 29, 2021, 2:00:00",XBTUSD,0.0198,0.0594
"Oct 29, 2021, 6:00:00",XBTUSD,0.0274,0.0822
"Oct 28, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 28, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 28, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 27, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 27, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 27, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 26, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 26, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 26, 2021, 6:00:00",XBTUSD,0.0173,0.0519
"Oct 25, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 25, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 25, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 24, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 24, 2021, 2:00:00",XBTUSD,0.0191,0.0573
"Oct 24, 2021, 6:00:00",XBTUSD,0.0164,0.0492
"Oct 23, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 23, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 23, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 22, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 22, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 22, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 21, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 21, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 21, 2021, 6:00:00",XBTUSD,0.0554,0.1662
"Oct 20, 2021, 10:00:00",XBTUSD,0.0719,0.2157
"Oct 20, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 20, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 19, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 19, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 19, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 18, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 18, 2021, 2:00:00",XBTUSD,0.019,0.057
"Oct 18, 2021, 6:00:00",XBTUSD,0.0309,0.0927
"Oct 17, 2021, 10:00:00",XBTUSD,0.0219,0.0657
"Oct 17, 2021, 2:00:00",XBTUSD,0.0118,0.0354
"Oct 17, 2021, 6:00:00",XBTUSD,0.0188,0.0564
"Oct 16, 2021, 10:00:00",XBTUSD,0.013,0.039
"Oct 16, 2021, 2:00:00",XBTUSD,0.0116,0.0348
"Oct 16, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 15, 2021, 10:00:00",XBTUSD,0.0393,0.1179
"Oct 15, 2021, 2:00:00",XBTUSD,0.0264,0.0792
"Oct 15, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 14, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 14, 2021, 2:00:00",XBTUSD,0.0215,0.0645
"Oct 14, 2021, 6:00:00",XBTUSD,0.0255,0.0765
"Oct 13, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 13, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 13, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 12, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 12, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 12, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 11, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 11, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 11, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 10, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 10, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 10, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 9, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 9, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 9, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 8, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 8, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 8, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 7, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 7, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 7, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 6, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 6, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 6, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 5, 2021, 10:00:00",XBTUSD,0.0002,0.0006
"Oct 5, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 5, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 4, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 4, 2021, 2:00:00",XBTUSD,0.01,0.03
"Oct 4, 2021, 6:00:00",XBTUSD,0.01,0.03
"Oct 3, 2021, 10:00:00",XBTUSD,0.01,0.03
"Oct 3, 2021, 2:00:00",XBTUSD,0.01,0.03
