,0,1,2,3
318,"Feb 7, 2022, 9:00:00",XBTUSDT,0.01,0.03
319,"Feb 7, 2022, 9:00:00",SOLUSD,0.0363,0.1089
320,"Feb 7, 2022, 9:00:00",LINKUSD,0.01,0.03
321,"Feb 7, 2022, 9:00:00",EOSUSD,0.01,0.03
322,"Feb 7, 2022, 9:00:00",AXSUSD,0.003,0.009
323,"Feb 7, 2022, 9:00:00",DOTUSD,0.01,0.03
324,"Feb 7, 2022, 9:00:00",BNBUSD,0.01,0.03
325,"Feb 7, 2022, 9:00:00",DOGEUSD,0.0297,0.0891
326,"Feb 7, 2022, 9:00:00",ADAUSD,0.01,0.03
327,"Feb 7, 2022, 9:00:00",AVAXUSD,0.01,0.03
328,"Feb 7, 2022, 9:00:00",LUNAUSD,0.01,0.03
329,"Feb 7, 2022, 9:00:00",MATICUSDT,0.01,0.03
330,"Feb 7, 2022, 9:00:00",XBTEUR,0.01,0.03
331,"Feb 7, 2022, 9:00:00",SOLUSDT,0.01,0.03
332,"Feb 7, 2022, 9:00:00",BNBUSDT,0.01,0.03
333,"Feb 7, 2022, 9:00:00",ADAUSDT,0.01,0.03
334,"Feb 7, 2022, 9:00:00",DOTUSDT,0.01,0.03
335,"Feb 7, 2022, 9:00:00",DOGEUSDT,0.01,0.03
336,"Feb 7, 2022, 9:00:00",LTCUSD,0.01,0.03
337,"Feb 7, 2022, 9:00:00",BCHUSD,0.01,0.03
338,"Feb 7, 2022, 9:00:00",XRPUSD,0.01,0.03
339,"Feb 7, 2022, 9:00:00",ETHUSD,0.01,0.03
340,"Feb 7, 2022, 9:00:00",XBTUSD,-0.0097,-0.0291
341,"Feb 7, 2022, 1:00:00",MANAUSDT,0.01,0.03
342,"Feb 7, 2022, 1:00:00",SANDUSDT,0.01,0.03
343,"Feb 7, 2022, 1:00:00",FTMUSDT,0.01,0.03
344,"Feb 7, 2022, 1:00:00",SHIBUSDT,0.01,0.03
345,"Feb 7, 2022, 1:00:00",LTCUSDT,0.01,0.03
346,"Feb 7, 2022, 1:00:00",BCHUSDT,0.01,0.03
347,"Feb 7, 2022, 1:00:00",XRPUSDT,0.01,0.03
348,"Feb 7, 2022, 1:00:00",ETHUSDT,0.01,0.03
349,"Feb 7, 2022, 1:00:00",XBTUSDT,-0.0132,-0.0396
350,"Feb 7, 2022, 1:00:00",SOLUSD,0.0378,0.1134
351,"Feb 7, 2022, 1:00:00",LINKUSD,0.01,0.03
352,"Feb 7, 2022, 1:00:00",EOSUSD,0.01,0.03
353,"Feb 7, 2022, 1:00:00",AXSUSD,-0.0398,-0.1194
354,"Feb 7, 2022, 1:00:00",DOTUSD,0.01,0.03
355,"Feb 7, 2022, 1:00:00",BNBUSD,0.01,0.03
356,"Feb 7, 2022, 1:00:00",DOGEUSD,0.0293,0.0879
357,"Feb 7, 2022, 1:00:00",ADAUSD,0.01,0.03
358,"Feb 7, 2022, 1:00:00",AVAXUSD,0.01,0.03
359,"Feb 7, 2022, 1:00:00",LUNAUSD,0.01,0.03
360,"Feb 7, 2022, 1:00:00",MATICUSDT,0.01,0.03
361,"Feb 7, 2022, 1:00:00",XBTEUR,-0.0046,-0.0138
